Batter,Pitcher,PA,AB,H,2B,3B,HR,SO,K%,Whiff%,BB,BB%,BA,SLG,wOBA,xBA,xSLG,xwOBA,EV,LA
Andrew Benintendi,Logan Allen,7,7,2,1,0,0,1,14.3,33.3,0,0.0,0.286,0.429,0.299,0.362,0.645,0.430,89.0,-6.5
Michael A. Taylor,Logan Allen,5,4,0,0,0,0,1,20.0,20.0,0,0.0,0.000,0.000,0.000,0.025,0.051,0.034,91.5,40.0
Carlos Santana,Logan Allen,6,5,0,0,0,0,0,0.0,12.5,1,16.7,0.000,0.000,0.115,0.117,0.152,0.215,90.5,-11.6
Hanser Alberto,Logan Allen,8,8,4,1,0,0,0,0.0,0.0,0,0.0,0.500,0.625,0.481,0.419,0.523,0.406,92.5,11.1
Whit Merrifield,Logan Allen,6,6,3,0,0,1,0,0.0,0.0,0,0.0,0.500,1.000,0.628,0.305,0.658,0.408,85.2,20.4
Salvador Perez,Logan Allen,5,4,0,0,0,0,1,20.0,14.3,1,20.0,0.000,0.000,0.138,0.250,0.445,0.375,101.6,12.4
Nicky Lopez,Logan Allen,5,5,2,0,0,0,0,0.0,0.0,0,0.0,0.400,0.400,0.352,0.379,0.423,0.356,81.8,-20.4
Juan Soto,Elieser Hernandez,16,14,5,3,0,1,4,25.0,25.0,2,12.5,0.357,0.786,0.499,0.406,0.891,0.560,102.0,10.9
Josh Bell,Elieser Hernandez,6,5,1,0,0,0,1,16.7,21.4,1,16.7,0.200,0.200,0.260,0.345,0.405,0.386,92.2,12.7
Pedro Severino,Zack Wheeler,6,6,1,0,0,0,0,0.0,7.7,0,0.0,0.167,0.167,0.147,0.215,0.260,0.213,74.6,8.4
Trey Mancini,Zack Wheeler,5,4,1,0,0,0,1,20.0,27.3,0,0.0,0.250,0.250,0.320,0.207,0.260,0.302,92.2,38.3
Brock Holt,Corey Kluber,25,23,7,0,0,0,5,20.0,9.1,1,4.0,0.304,0.304,0.304,0.303,0.397,0.350,87.7,9.9
Charlie Culberson,Corey Kluber,6,5,0,0,0,0,2,33.3,55.6,1,16.7,0.000,0.000,0.115,0.280,0.314,0.407,75.4,30.8
Isiah Kiner-Falefa,Corey Kluber,6,6,0,0,0,0,0,0.0,0.0,0,0.0,0.000,0.000,0.000,0.167,0.217,0.165,86.0,7.5
James McCann,Chris Sale,37,35,7,2,0,1,11,29.7,29.6,2,5.4,0.200,0.343,0.251,0.163,0.365,0.244,85.9,25.1
Kevin Pillar,Chris Sale,29,28,7,2,0,0,6,20.7,24.6,0,0.0,0.250,0.321,0.237,0.263,0.419,0.281,89.7,28.1
Francisco Lindor,Chris Sale,29,28,12,2,0,1,6,20.7,19.6,1,3.4,0.429,0.607,0.453,0.287,0.391,0.310,90.2,10.3
Jonathan Villar,Chris Sale,19,18,2,0,0,0,12,63.2,50.0,0,0.0,0.111,0.111,0.093,0.111,0.126,0.101,79.6,12.9
